Active,Active(anon),Active(file),AnonHugePages,AnonPages,Bounce,Buffers,Cached,CommitLimit,Committed_AS,DirectMap1G,DirectMap2M,DirectMap4k,Dirty,HardwareCorrupted,HugePages_Free,HugePages_Rsvd,HugePages_Surp,HugePages_Total,Hugepagesize,Inactive,Inactive(anon),Inactive(file),KernelStack,Mapped,MemFree,MemTotal,Mlocked,NFS_Unstable,PageTables,SReclaimable,SUnreclaim,Shmem,Slab,SwapCached,SwapFree,SwapTotal,Unevictable,VmallocChunk,VmallocTotal,VmallocUsed,Writeback,WritebackTmp,time
29335096,5156008,24179088,0,5502888,0,1136664,64750440,163302556,7733932,262144000,6107136,138176,360,0,0,0,0,0,2048,42036868,333764,41703104,6392,41428,188130636,264108356,30376,0,31228,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111793.885366
29486508,5293700,24192808,0,5640968,0,1136664,64750440,163302556,7871672,262144000,6107136,138176,432,0,0,0,0,0,2048,42023148,333764,41689384,6392,41428,187992384,264108356,30376,0,31500,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111794.897306
29639740,5433156,24206584,0,5780412,0,1136664,64750444,163302556,8011432,262144000,6107136,138176,440,0,0,0,0,0,2048,42009376,333764,41675612,6392,41428,187852716,264108356,30376,0,31768,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111795.909208
29795168,5574460,24220708,0,5921704,0,1136664,64750444,163302556,8152688,262144000,6107136,138176,472,0,0,0,0,0,2048,41995252,333764,41661488,6392,41428,187711108,264108356,30376,0,32036,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111796.921135
29950060,5715628,24234432,0,6063088,0,1136664,64750444,163302556,8293844,262144000,6107136,138176,472,0,0,0,0,0,2048,41981528,333764,41647764,6392,41428,187570492,264108356,30376,0,32308,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111797.933052
30105412,5856852,24248560,0,6203900,0,1136664,64750464,163302556,8434988,262144000,6107136,138176,452,0,0,0,0,0,2048,41967400,333764,41633636,6392,41428,187429008,264108356,30376,0,32584,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111798.944954
30258168,5995888,24262280,0,6342772,0,1136664,64750464,163302556,8574060,262144000,6107136,138176,348,0,0,0,0,0,2048,41953680,333764,41619916,6376,41428,187289896,264108356,30376,0,32856,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111799.956901
30409516,6133796,24275720,0,6481280,0,1136664,64750464,163302556,8711984,262144000,6107136,138176,356,0,0,0,0,0,2048,41940240,333764,41606476,6376,41428,187151760,264108356,30376,0,33124,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111800.968873
30560876,6271716,24289160,0,6618776,0,1136664,64750464,163302556,8850012,262144000,6107136,138176,352,0,0,0,0,0,2048,41926800,333764,41593036,6376,41428,187013252,264108356,30376,0,33388,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111801.980852
30712684,6409736,24302948,0,6756808,0,1136664,64750464,163302556,8987840,262144000,6107136,138176,352,0,0,0,0,0,2048,41913012,333764,41579248,6376,41428,186875488,264108356,30376,0,33656,2732980,136444,168,2869424,14376,30411152,31248380,30376,34156673340,34359738367,692700,0,0,1430111802.992755
